Temperature,Humidity
26.00,37.90
26.00,38.00
26.00,38.00
26.00,38.00
26.00,38.00
26.00,38.00
26.00,38.70
26.00,39.20
26.00,39.40
26.00,39.40
26.00,39.20
26.00,39.70
26.00,39.70
26.00,39.60
26.00,39.50
26.00,39.40
26.00,39.30
26.00,39.20
26.00,39.10
26.00,39.00
26.00,38.80
26.00,38.70
26.00,38.60
26.00,38.60
26.00,38.50
26.00,38.50
26.00,38.40
26.00,38.40
26.00,38.40
26.00,38.30
26.00,38.20
26.00,38.20
26.00,38.20
26.00,38.20
25.90,38.10
26.00,38.20
26.00,38.20
25.90,38.10
26.00,38.20
26.00,38.20
25.90,38.10
25.90,38.10
26.00,38.20
26.00,38.10
25.90,38.10
25.90,38.10
25.90,38.00
26.00,38.10
25.90,38.00
25.90,38.10
25.90,38.00
25.90,38.00
26.00,38.10
25.90,38.20
25.90,38.20
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.80,38.50
25.90,38.80
25.90,38.80
25.90,38.70
25.90,38.60
25.80,38.50
25.90,38.50
25.90,38.40
25.90,38.40
25.90,38.40
25.80,38.20
25.80,38.20
25.80,38.20
25.90,38.30
25.90,38.30
25.80,38.20
25.80,38.20
25.80,38.30
25.90,38.30
25.80,38.30
25.80,38.30
25.80,38.30
25.80,38.30
25.80,38.30
25.90,38.30
25.90,38.30
25.80,38.20
25.90,38.30
25.80,38.20
25.90,38.30
25.90,38.30
25.80,38.20
25.80,38.30
25.80,38.30
25.90,38.40
25.80,38.40
25.80,38.40
25.80,38.40
25.80,38.40
25.80,38.40
25.80,38.50
25.80,38.40
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.50
25.80,38.50
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.50
25.80,38.50
25.80,38.40
25.80,38.50
25.80,38.50
25.80,38.60
25.80,38.60
25.80,38.90
25.80,38.90
25.80,38.80
25.80,38.80
25.80,38.80
25.80,38.70
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.70
25.80,38.70
25.80,39.50
25.80,41.50
25.80,41.30
25.80,41.50
25.80,41.90
25.80,41.80
25.80,41.60
25.80,41.20
25.80,40.70
25.80,40.30
25.80,40.10
25.80,40.10
25.80,40.00
25.80,39.80
25.80,39.50
25.80,39.40
25.80,39.20
25.80,39.10
25.80,39.30
25.80,39.50
25.80,39.50
25.80,39.70
25.80,39.70
25.80,39.60
25.80,39.50
25.90,39.30
25.80,39.10
